"","country","COR"
"1","Austria",0.977414654724277
"2","Belgium",0.974343570033794
"3","Bulgaria",0.9283996615373
"4","Croatia",0.939129555212667
"5","Cyprus",0.964828668924418
"6","Czech Republic",0.938275587644343
"7","Denmark",0.971773285125713
"8","Estonia",0.968980927032021
"9","Finland",0.975396028902505
"10","France",0.965492751628283
"11","Germany",0.973435131841179
"12","Greece",0.971627704195609
"13","Hungary",0.932766992890714
"14","Iceland",0.96388451993483
"15","Ireland",0.963570466080595
"16","Italy",0.969635135048386
"17","Latvia",0.963897229041014
"18","Lithuania",0.953623195772636
"19","Luxembourg",0.973526381480825
"20","Netherlands",0.979085608741558
"21","Norway",0.978019712426615
"22","Poland",0.961550355470273
"23","Portugal",0.978475669283473
"24","Romania",0.963495998696432
"25","Slovak Republic",0.96634649459892
"26","Spain",0.972749428745516
"27","Sweden",0.968273326716524
